time,latitude,longitude,altitude
2021-07-13 18:00:28+00:00,37.643443,-121.899667,101.6
2021-07-13 18:00:30+00:00,37.643074,-121.899468,102.0
2021-07-13 18:00:31+00:00,37.6429,-121.899318,102.2
2021-07-13 18:00:33+00:00,37.642614,-121.898953,101.9
2021-07-13 18:05:48+00:00,37.614678,-121.881943,86.1
2021-07-13 18:05:50+00:00,37.614659,-121.881959,86.0
2021-07-13 18:05:52+00:00,37.614647,-121.881971,86.5
2021-07-13 18:05:54+00:00,37.614632,-121.881977,86.7
2021-07-13 18:05:55+00:00,37.614632,-121.881976,86.7
2021-07-13 18:05:56+00:00,37.614632,-121.881975,86.7
2021-07-13 18:05:58+00:00,37.61463,-121.881978,86.7
2021-07-13 18:05:59+00:00,37.614631,-121.881979,86.7
2021-07-13 18:06:01+00:00,37.61463,-121.881991,86.8
2021-07-13 18:06:02+00:00,37.614635,-121.882009,87.0
2021-07-13 18:06:04+00:00,37.61466,-121.882058,87.5
2021-07-13 18:06:05+00:00,37.61467,-121.882076,87.8
2021-07-13 18:06:06+00:00,37.614675,-121.882096,88.0
2021-07-13 18:06:08+00:00,37.614678,-121.882132,88.4
2021-07-13 18:06:09+00:00,37.614683,-121.88215,88.6
2021-07-13 18:06:10+00:00,37.614692,-121.88217,88.8
2021-07-13 18:06:11+00:00,37.614698,-121.882188,89.1
2021-07-13 18:06:13+00:00,37.614705,-121.882234,89.7
2021-07-13 18:06:14+00:00,37.614696,-121.88227,90.1
2021-07-13 18:06:15+00:00,37.61469,-121.88228,90.3
2021-07-13 18:06:16+00:00,37.614673,-121.882298,90.5
2021-07-13 18:06:18+00:00,37.614659,-121.882316,90.8
2021-07-13 18:06:19+00:00,37.614649,-121.882329,91.0
2021-07-13 18:06:20+00:00,37.614638,-121.882344,91.2
2021-07-13 18:06:21+00:00,37.61462,-121.88237,91.6
2021-07-13 18:06:23+00:00,37.614604,-121.88239,91.9
2021-07-13 18:06:24+00:00,37.614582,-121.882418,92.4
2021-07-13 18:06:25+00:00,37.614576,-121.882427,92.6
2021-07-13 18:06:27+00:00,37.614555,-121.882457,93.1
2021-07-13 18:06:28+00:00,37.61455,-121.882465,93.3
2021-07-13 18:06:29+00:00,37.614537,-121.882494,93.8
2021-07-13 18:06:31+00:00,37.614532,-121.882515,94.1
2021-07-13 18:06:32+00:00,37.61453,-121.882534,94.4
2021-07-13 18:06:33+00:00,37.614527,-121.882559,94.8
2021-07-13 18:06:34+00:00,37.614527,-121.882578,95.1
2021-07-13 18:06:36+00:00,37.614527,-121.882604,95.5
2021-07-13 18:06:37+00:00,37.614533,-121.88263,95.9
2021-07-13 18:06:38+00:00,37.614535,-121.88264,96.1
2021-07-13 18:06:39+00:00,37.614536,-121.882651,96.3
2021-07-13 18:06:40+00:00,37.614554,-121.882672,96.7
2021-07-13 18:06:42+00:00,37.614565,-121.882684,97.0
2021-07-13 18:06:44+00:00,37.614584,-121.882718,97.6
2021-07-13 18:06:45+00:00,37.614588,-121.882725,97.7
2021-07-13 18:06:47+00:00,37.614608,-121.882742,98.1
2021-07-13 18:06:48+00:00,37.61462,-121.882745,98.3
2021-07-13 18:06:50+00:00,37.614653,-121.88276,98.9
2021-07-13 18:06:51+00:00,37.614662,-121.882767,99.1
2021-07-13 18:06:53+00:00,37.614687,-121.882793,99.6
2021-07-13 18:06:54+00:00,37.614696,-121.882802,99.7
