time,latitude,longitude
2021-07-15 00:02:23+00:00,37.597629,-121.897026
2021-07-15 00:02:24+00:00,37.597634,-121.89702
2021-07-15 00:02:25+00:00,37.597639,-121.897014
2021-07-15 00:02:26+00:00,37.597645,-121.897008
2021-07-15 00:02:27+00:00,37.59765,-121.897002
2021-07-15 00:02:28+00:00,37.597655,-121.896996
2021-07-15 00:02:29+00:00,37.597661,-121.89699
2021-07-15 00:02:30+00:00,37.597666,-121.896984
2021-07-15 00:02:31+00:00,37.597671,-121.896978
2021-07-15 00:02:32+00:00,37.597676,-121.896972
2021-07-15 00:02:33+00:00,37.597682,-121.896966
2021-07-15 00:02:34+00:00,37.597687,-121.89696
2021-07-15 00:02:35+00:00,37.597692,-121.896955
2021-07-15 00:02:36+00:00,37.597697,-121.896949
2021-07-15 00:02:37+00:00,37.597703,-121.896943
2021-07-15 00:02:38+00:00,37.597708,-121.896937
2021-07-15 00:02:39+00:00,37.597713,-121.896931
2021-07-15 00:02:40+00:00,37.597718,-121.896925
2021-07-15 00:02:41+00:00,37.597724,-121.896919
2021-07-15 00:02:42+00:00,37.597729,-121.896913
2021-07-15 00:02:43+00:00,37.597734,-121.896907
2021-07-15 00:02:44+00:00,37.59774,-121.896901
2021-07-15 00:02:45+00:00,37.597745,-121.896895
2021-07-15 00:02:46+00:00,37.59775,-121.896889
2021-07-15 00:02:47+00:00,37.597755,-121.896884
2021-07-15 00:02:48+00:00,37.597761,-121.896878
2021-07-15 00:02:49+00:00,37.597766,-121.896872
2021-07-15 00:02:50+00:00,37.597771,-121.896866
2021-07-15 00:02:51+00:00,37.597776,-121.89686
2021-07-15 00:02:52+00:00,37.597782,-121.896854
2021-07-15 00:02:53+00:00,37.597787,-121.896848
2021-07-15 00:02:54+00:00,37.597799,-121.896837
2021-07-15 00:02:55+00:00,37.597811,-121.896825
2021-07-15 00:02:56+00:00,37.597821,-121.896814
2021-07-15 00:02:57+00:00,37.597829,-121.896806
2021-07-15 00:02:58+00:00,37.597835,-121.8968
2021-07-15 00:02:59+00:00,37.597841,-121.896794
2021-07-15 00:03:00+00:00,37.597845,-121.896786
2021-07-15 00:03:01+00:00,37.597853,-121.896778
2021-07-15 00:03:02+00:00,37.597859,-121.896773
2021-07-15 00:03:03+00:00,37.597865,-121.896766
2021-07-15 00:03:04+00:00,37.597873,-121.896757
2021-07-15 00:03:05+00:00,37.59788,-121.896747
2021-07-15 00:03:06+00:00,37.597887,-121.896735
2021-07-15 00:03:07+00:00,37.597896,-121.896726
2021-07-15 00:03:08+00:00,37.597903,-121.896719
2021-07-15 00:03:09+00:00,37.597911,-121.896712
2021-07-15 00:03:10+00:00,37.597919,-121.896704
2021-07-15 00:03:11+00:00,37.597927,-121.896696
2021-07-15 00:03:12+00:00,37.597937,-121.896685
2021-07-15 00:03:13+00:00,37.597941,-121.896669
2021-07-15 00:03:14+00:00,37.597948,-121.896661
2021-07-15 00:03:15+00:00,37.597958,-121.896654
2021-07-15 00:03:16+00:00,37.597965,-121.89665
2021-07-15 00:03:17+00:00,37.597973,-121.896642
2021-07-15 00:03:18+00:00,37.597982,-121.896634
2021-07-15 00:03:19+00:00,37.59799,-121.896628
2021-07-15 00:03:20+00:00,37.597996,-121.896624
2021-07-15 00:03:21+00:00,37.598005,-121.896622
2021-07-15 00:03:22+00:00,37.598014,-121.896622
2021-07-15 00:03:23+00:00,37.598019,-121.896623
2021-07-15 00:03:24+00:00,37.598022,-121.896625
2021-07-15 00:03:25+00:00,37.598026,-121.89663
2021-07-15 00:03:26+00:00,37.598032,-121.896638
2021-07-15 00:03:27+00:00,37.598036,-121.896647
2021-07-15 00:03:28+00:00,37.59804,-121.89666
2021-07-15 00:03:29+00:00,37.598043,-121.896672
2021-07-15 00:03:30+00:00,37.598042,-121.896683
2021-07-15 00:03:31+00:00,37.598041,-121.896697
2021-07-15 00:03:32+00:00,37.598038,-121.896708
2021-07-15 00:03:33+00:00,37.598035,-121.896723
2021-07-15 00:03:34+00:00,37.598034,-121.896736
2021-07-15 00:03:35+00:00,37.598033,-121.896751
2021-07-15 00:03:36+00:00,37.59803,-121.896761
2021-07-15 00:03:37+00:00,37.598028,-121.896773
2021-07-15 00:03:38+00:00,37.598029,-121.896786
2021-07-15 00:03:39+00:00,37.598029,-121.896801
2021-07-15 00:03:40+00:00,37.598028,-121.896816
2021-07-15 00:03:41+00:00,37.598025,-121.896827
2021-07-15 00:03:42+00:00,37.598022,-121.896839
2021-07-15 00:03:43+00:00,37.598019,-121.896853
2021-07-15 00:03:44+00:00,37.59802,-121.896869
2021-07-15 00:03:45+00:00,37.598021,-121.896883
2021-07-15 00:03:46+00:00,37.598023,-121.896897
2021-07-15 00:03:47+00:00,37.598027,-121.89691
2021-07-15 00:03:48+00:00,37.598028,-121.896923
2021-07-15 00:03:49+00:00,37.598029,-121.896936
2021-07-15 00:03:50+00:00,37.598031,-121.89695
2021-07-15 00:03:51+00:00,37.598034,-121.896962
2021-07-15 00:03:52+00:00,37.598038,-121.896971
2021-07-15 00:03:53+00:00,37.598042,-121.89698
2021-07-15 00:03:54+00:00,37.598043,-121.896993
2021-07-15 00:03:55+00:00,37.598047,-121.897008
2021-07-15 00:03:56+00:00,37.598052,-121.897023
2021-07-15 00:03:57+00:00,37.598056,-121.897036
2021-07-15 00:03:58+00:00,37.598058,-121.897049
2021-07-15 00:03:59+00:00,37.598059,-121.897061
2021-07-15 00:04:00+00:00,37.598061,-121.897071
2021-07-15 00:04:01+00:00,37.598064,-121.897082
2021-07-15 00:04:02+00:00,37.598069,-121.897092
2021-07-15 00:04:03+00:00,37.598074,-121.897102
2021-07-15 00:04:04+00:00,37.598077,-121.897113
2021-07-15 00:04:05+00:00,37.59808,-121.897123
2021-07-15 00:04:06+00:00,37.598083,-121.897132
2021-07-15 00:04:07+00:00,37.598087,-121.897142
2021-07-15 00:04:08+00:00,37.598091,-121.897152
2021-07-15 00:04:09+00:00,37.598095,-121.897164
2021-07-15 00:04:10+00:00,37.5981,-121.897178
2021-07-15 00:04:11+00:00,37.598105,-121.897192
2021-07-15 00:04:12+00:00,37.598113,-121.897204
2021-07-15 00:04:13+00:00,37.598121,-121.897216
2021-07-15 00:04:14+00:00,37.598129,-121.89723
2021-07-15 00:04:15+00:00,37.598136,-121.897241
2021-07-15 00:04:16+00:00,37.598144,-121.897251
2021-07-15 00:04:17+00:00,37.598154,-121.897262
2021-07-15 00:04:18+00:00,37.598163,-121.897274
2021-07-15 00:04:19+00:00,37.59817,-121.897286
2021-07-15 00:04:20+00:00,37.598177,-121.897295
2021-07-15 00:04:21+00:00,37.598187,-121.897302
2021-07-15 00:04:22+00:00,37.598197,-121.897311
2021-07-15 00:04:23+00:00,37.598208,-121.897322
2021-07-15 00:04:24+00:00,37.59822,-121.897332
2021-07-15 00:04:25+00:00,37.598232,-121.89734
2021-07-15 00:04:26+00:00,37.598246,-121.897346
2021-07-15 00:04:27+00:00,37.598258,-121.897353
2021-07-15 00:04:28+00:00,37.598267,-121.897359
2021-07-15 00:04:29+00:00,37.598276,-121.897365
2021-07-15 00:04:30+00:00,37.598285,-121.89737
2021-07-15 00:04:31+00:00,37.598295,-121.897378
2021-07-15 00:04:32+00:00,37.598308,-121.897388
2021-07-15 00:04:33+00:00,37.598323,-121.897391
2021-07-15 00:04:34+00:00,37.598334,-121.897398
2021-07-15 00:04:35+00:00,37.598342,-121.897406
2021-07-15 00:04:36+00:00,37.598348,-121.897417
2021-07-15 00:04:37+00:00,37.598357,-121.897426
2021-07-15 00:04:38+00:00,37.598366,-121.897434
2021-07-15 00:04:39+00:00,37.598375,-121.897442
2021-07-15 00:04:40+00:00,37.59838,-121.897451
2021-07-15 00:04:41+00:00,37.598387,-121.897462
2021-07-15 00:04:42+00:00,37.598395,-121.897472
2021-07-15 00:04:43+00:00,37.598402,-121.897478
2021-07-15 00:04:44+00:00,37.598406,-121.897488
2021-07-15 00:04:45+00:00,37.598411,-121.897501
2021-07-15 00:04:46+00:00,37.598416,-121.897513
2021-07-15 00:04:47+00:00,37.598419,-121.897523
2021-07-15 00:04:48+00:00,37.598422,-121.897534
2021-07-15 00:04:49+00:00,37.598425,-121.897545
2021-07-15 00:04:50+00:00,37.598427,-121.897556
2021-07-15 00:04:51+00:00,37.598428,-121.897568
2021-07-15 00:04:52+00:00,37.598429,-121.897579
2021-07-15 00:04:53+00:00,37.598431,-121.89759
2021-07-15 00:04:54+00:00,37.598431,-121.897603
2021-07-15 00:04:55+00:00,37.598434,-121.897609
2021-07-15 00:04:56+00:00,37.598435,-121.897621
2021-07-15 00:04:57+00:00,37.598435,-121.897629
2021-07-15 00:04:58+00:00,37.598435,-121.897642
2021-07-15 00:04:59+00:00,37.598435,-121.897653
2021-07-15 00:05:00+00:00,37.598438,-121.897665
2021-07-15 00:05:01+00:00,37.598439,-121.897678
2021-07-15 00:05:02+00:00,37.598437,-121.89769
2021-07-15 00:05:03+00:00,37.598436,-121.897703
2021-07-15 00:05:04+00:00,37.598434,-121.897715
2021-07-15 00:05:05+00:00,37.598434,-121.897727
2021-07-15 00:05:06+00:00,37.598433,-121.897739
2021-07-15 00:05:07+00:00,37.598431,-121.897751
2021-07-15 00:05:08+00:00,37.598432,-121.897765
